movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
Loro,Loro,2019,"Loro is a movie starring Toni Servillo, Elena Sofia Ricci, and Riccardo Scamarcio. During a tumultuous period in the career of Silvio Berlusconi, as his marriage to second wife Veronica Lario fractures, LORO speculates on what may...",https://www.imdb.com/video/imdb/vi1091812377,tt10182822,6.7,78,Cinemascore,NA
Midnight Diner,Shenye shitang,2019,NA,NA,tt10904418,3.5,,Cinemascore,NA
Rambo 5 Last Blood,Rambo: Last Blood,2019,"Rambo: Last Blood is a movie starring Sylvester Stallone, Paz Vega, and Sergio Peris-Mencheta. Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.",https://www.imdb.com/video/imdb/vi2974596121,tt1206885,6.8,,Cinemascore,NA
Tazza: One Eyed Jack,Tazza: One aideu jaek,2019,"Tazza: One aideu jaek is a movie starring Jung-min Park, Seung-bum Ryoo, and Yu-hwa Choi. Do Il-Chool (Park Jung-Min) has a talent for playing poker and he is the son of Jjakgwi. His father was a gambler and had one ear cut off...",https://www.imdb.com/video/imdb/vi3685465881,tt10927906,5.6,,Cinemascore,NA
Villains,Villains,2019,"Villains is a movie starring Bill Skarsgård, Maika Monroe, and Jeffrey Donovan. After a pair of amateur criminals break into a suburban home, they stumble upon a dark secret that two sadistic homeowners will do anything to keep from...",https://www.imdb.com/video/imdb/vi78757657,tt6378710,6.6,83,Cinemascore,NA
Where's My Roy Cohn?,Where's My Roy Cohn?,2019,"Where's My Roy Cohn? is a movie starring Ken Auletta, Roy M. Cohn, and Joseph McCarthy. Roy Cohn personified the dark arts of American politics, turning empty vessels into dangerous demagogues - from Joseph McCarthy to his final...",https://www.imdb.com/video/imdb/vi3563109401,tt7193362,4.9,78,Cinemascore,NA
Zeroville,Zeroville,2019,"Zeroville is a movie starring Joey King, Megan Fox, and James Franco. A young actor arrives in Hollywood in 1969 during a transitional time in the Industry.",https://www.imdb.com/video/imdb/vi1313324057,tt1881109,5.3,27,Cinemascore,NA
Abominable,Abominable,2019,"Abominable is a movie starring Chloe Bennet, Albert Tsai, and Tenzing Norgay Trainor. A magical Yeti must return to his family.",https://www.imdb.com/video/imdb/vi3789077529,tt6324278,7.3,80,Cinemascore,NA
First Love,Hatsukoi,2019,"Hatsukoi is a movie starring Becky, Sakurako Konishi, and Masataka Kubota. A young boxer and a call girl get caught up in a drug-smuggling scheme over the course of one night in Tokyo.",NA,tt10228168,7.2,97,Cinemascore,NA
Judy,Judy,2019,"Judy is a movie starring Renée Zellweger, Jessie Buckley, and Finn Wittrock. Legendary performer Judy Garland arrives in London in the winter of 1968 to perform a series of sold-out concerts.",https://www.imdb.com/video/imdb/vi2484714521,tt7549996,7.0,84,Cinemascore,NA
Serie Noire (2019 Rerelease),NA,2019,NA,NA,NA,NA,,Cinemascore,NA
The Day Shall Come,The Day Shall Come,2019,"The Day Shall Come is a movie starring Andrel McPherson, Miles Robbins, and Marchánt Davis. An impoverished preacher who brings hope to the Miami projects is offered cash to save his family from eviction. He has no idea his sponsor...",https://www.imdb.com/video/imdb/vi2858138649,tt7078658,5.5,75,Cinemascore,NA
The Death of Dick Long,The Death of Dick Long,2019,"The Death of Dick Long is a movie starring Michael Abbott Jr., Virginia Newcomb, and Andre Hyland. Dick died last night, and Zeke and Earl don't want anybody finding out how. That's too bad though, cause news travels fast in...",https://www.imdb.com/video/imdb/vi2454174745,tt9356952,6.7,76,Cinemascore,NA
The Golden Glove,Der goldene Handschuh,2019,"Der goldene Handschuh is a movie starring Jonas Dassler, Katja Studt, and Margarete Tiesel. A serial killer strikes fear in the hearts of residents of Hamburg during the early 1970s.",https://www.imdb.com/video/imdb/vi2336996377,tt7670212,6.7,46,Cinemascore,NA
The Laundromat,The Laundromat,2019,"The Laundromat is a movie starring Gary Oldman, Meryl Streep, and Sharon Stone. A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.",https://www.imdb.com/video/imdb/vi2025307929,tt5865326,6.2,43,Cinemascore,NA
Celebration,NA,2019,NA,NA,NA,NA,,Cinemascore,NA
Collisions,Collisions,2019,"Collisions is a movie starring Jesse Garcia, Izabella Alvarez, and Ana de la Reguera. The possibly devastating impact of the Trump administration crackdown on immigration, for one Bay Area family.",NA,tt6907054,7.6,,Cinemascore,NA
Gregory's Girl (2019 Re-Release),NA,2019,NA,NA,NA,NA,,Cinemascore,NA
Joker,Joker,2019,"Joker is a movie starring Joaquin Phoenix, Robert De Niro, and Zazie Beetz. A gritty character study of Arthur Fleck, a man disregarded by society.",https://www.imdb.com/video/imdb/vi1723318041,tt7286456,9.4,77,Cinemascore,NA
Low Tide,Low Tide,2019,"Low Tide is a movie starring Jaeden Martell, Keean Johnson, and Shea Whigham. Alan, Red, and Smitty spend high summer on the Jersey Shore roving the boardwalk and getting into trouble. But the discovery of good old fashioned...",https://www.imdb.com/video/imdb/vi2672540697,tt7434324,6.2,80,Cinemascore,NA
Lucy In The Sky,Lucy in the Sky,2019,"Lucy in the Sky is a movie starring Natalie Portman, Jon Hamm, and Zazie Beetz. Astronaut Lucy Cola returns to Earth after a transcendent experience during a mission to space, and begins to lose touch with reality in a world that...",https://www.imdb.com/video/imdb/vi2276769561,tt4682804,4.4,20,Cinemascore,NA
Memory: The Origins of Alien,Memory: The Origins of Alien,2019,"Memory: The Origins of Alien is a movie starring Bijan Aalam, Tim Boxell, and Axelle Carolyn. The untold origin story behind Ridley Scott's Alien - rooted in Greek and Egyptian mythologies, underground comics, the art of Francis...",https://www.imdb.com/video/imdb/vi3283468057,tt8974964,6.7,81,Cinemascore,NA
